metier,GFE,domaine_ONISEP,rome_code,sous_domaine_ONISEP,description
commissaire de police,"T : Environnement, nettoyage, sécurité","armée, sécurité",K1704,sécurité prévention,"Manager d'équipe, le commissaire de police dirige un commissariat ou un service spécialisé : brigade des affaires criminelles, des stupéfiants, des mineurs, renseignements généraux, etc. Il gère un budget, pilote les opérations, coordonne et suit l'action des officiers de police chargés des enquêtes, et veille à atteindre les objectifs définis par le ministre de l'Intérieur. Un poste qui exige une grande disponibilité. Ce cadre de la police doit être mobile car il ne reste en général pas plus de 4 ans dans le même poste, ce qui lui permet de prendre de plus en plus de responsabilités avant de pouvoir se présenter au grade de commissaire divisionnaire. Une trentaine de postes sont ouverts chaque année par voie de concours externe."
officier marinier / officière marinière,"T : Environnement, nettoyage, sécurité","armée, sécurité",K1701,sécurité prévention,"L'officier marinier est un sous-officier de la Marine. Il peut être marin avec des responsabilités de navigation (manoeuvrier, timonier, adjoint de chef de quart), mécanicien naval ou spécialiste en aéronautique, météorologiste ou océanologue, plongeur-démineur.
L'officier marinier peut encore être fusilier marin : c'est alors un combattant avec parfois un rôle d'instructeur, de moniteur de sport.
Enfin, l'administration et la gestion ne sont pas absentes. Il faut assurer l'approvisionnement et la restauration de la collectivité, les soins infirmiers des personnels, sans oublier les tâches administratives. En tout, une trentaine de spécialités existent...
Souvent responsable d'une équipe d'exécution de travaux propres à sa spécialité, l'officier marinier doit faire preuve d'aptitudes à l'encadrement. Sa qualification technique est développée tout au long de sa carrière par des stages en écoles de spécialité. Le rythme des affectations est de 2 à 4 ans, selon qu'il est embarqué ou non."
cartographe,"T : Environnement, nettoyage, sécurité",histoire,M1808,sciences de la Terre,"Le cartographe donne une représentation visuelle d'un territoire (carte politique, démographique, marine, routière, géologique...). Il doit maîtriser les SIG (systèmes d'information géographique) qui permettent, par exemple, à une commune de visualiser son parc immobilier, de gérer ses permis de construire ou de réaliser une simulation en 3D d'une crue. Le nombre d'emplois reste limité même si les employeurs potentiels sont multiples (bureaux d'études, cabinets de topographes, sites de webmapping...)."
toiletteur / toiletteuse d'animaux,A : Agriculture,"agriculture, animaux",A1503,soins aux animaux,"Le toiletteur connaît les soins adaptés à chaque race : un caniche ne se toilette pas comme un bichon ni comme un cocker. Lavage, démêlage, coiffage, tonte, épilation : pour embellir les animaux, il faut connaître les standards établis par les clubs de races, mais aussi suivre le goût des clients. Il faut aussi gagner la confiance des animaux, pas toujours dociles, en se montrant ferme et adroit.
À la différence du vétérinaire, le toiletteur ne soigne pas les animaux mais peut vendre des accessoires et des produits alimentaires ou de soins esthétiques.
Salarié d'un salon de toilettage, l'évolution consiste à s'installer à son compte comme artisan. Mais attention : il y a beaucoup plus de candidats que d'opportunités."
technicien / technicienne des industries du verre,"J : Transformation des matériaux, procédés (biologie, chimie, physique)",construction - architecture - travaux publics,H2805,verre,"Verre plat des vitres et des miroirs, verre creux des bouteilles, des gobelets et des flacons, verre technique destiné à l'optique, fibres de verre : le verre reste un matériau plein d'avenir. De l'atelier de fabrication au service clientèle en passant par le bureau d'études, le technicien des industries du verre peut exercer des fonctions très diverses. En atelier, des machines pilotées automatiquement assurent 24 heures sur 24 la fabrication de la pâte de verre, puis sa fusion. Viennent ensuite le formage des objets puis leur cuisson. Dans cet environnement bruyant, le technicien veille à la bonne marche des opérations. Une tâche qui demande une attention soutenue, car il s'agit de réduire le nombre de pièces défectueuses et de tendre vers le zéro défaut. Dans les services d'essais, de contrôle et de recherche, il seconde l'ingénieur dans l'étude des composants du verre et dans la mise au point de nouveaux procédés de fabrication et de machines. Il peut aussi être chargé des conseils et vente à la clientèle de l'industrie."
technicien / technicienne chimiste,"J : Transformation des matériaux, procédés (biologie, chimie, physique)","matières premières, fabrication, industries",H1503,chimie,"Blouse blanche, distillateurs, béchers, équipements informatisés sophistiqués... autant d'accessoires et de matériels utilisés quotidiennement par le technicien chimiste. Sous l'autorité d'un ingénieur chimiste, d'un pharmacien ou d'un chercheur, il procède à des analyses et expériences en laboratoire, réalise des dosages et réactions chimiques.
Dans un atelier de production industrielle, il surveille le déroulement du process et s'assure de la bonne marche des appareils. Il transmet également les résultats obtenus, renseigne les supports de suivi, logiciels de gestion, etc.
Il exerce dans le secteur de l'industrie chimique mais aussi dans la métallurgie, l'aéronautique, l'agroalimentaire, la plasturgie, etc.
En chimie, on le retrouve dans la branche chimie lourde, la chimie fine ou la parachimie (peintures, laques, etc.).
Rigoureux et respectueux de la réglementation, ce scientifique est très recherché dans le milieu industriel, mais peut aussi se tourner vers la police scientifique ou exercer dans les laboratoires universitaires."
technicien électronicien / technicienne électronicienne,"H : Electricité, énergie, électronique",électricité - électronique - robotique,I1305,électronique,"Le technicien électronicien recherche, diagnostique et résout tout dysfonctionnement ou panne des systèmes électroniques. Il procède aux différents contrôles et essais à l'aide d'appareils de mesure et de contrôle perfectionnés.
En conception, il réalise des schémas électriques à l'aide de logiciels, effectue des simulations électroniques suivies de tests, et rédige des documentations techniques sous la direction d'un ingénieur. En production, il est en charge des tests et répare des cartes électroniques. Il analyse le problème, recherche une solution et l'applique. Il établit ensuite une synthèse de son intervention. En bureau d'essais, il rédige des procédures de tests (explications, appareils de mesure à utiliser, réglages à faire). Il développe une partie du logiciel de tests et des cartes électroniques.
Il maîtrise les circuits électroniques, leurs composants et leurs différentes fonctions, les appareils de mesure et connaît le câblage, la soudure. Il construit des circuits imprimés, calcule et dessine les schémas à l'aide de logiciels spécifiques. Il veille à la satisfaction des clients par un service de qualité."
dessinateur / dessinatrice en construction mécanique,F : Mécanique,"informatique, internet",H1203,mécanique (généralités),"Travaillant sur des projets très variés (système de freinage, appareil de chauffage...), le dessinateur en construction mécanique définit l'architecture d'un produit (à l'aide de plans ou d'images en 3D) et s'assure de sa faisabilité. Il procède d'abord à l'assemblage virtuel des pièces, les modifie si nécessaire, puis analyse la maquette numérique afin d'établir un plan détaillé. Autre objectif : chercher toutes les solutions techniques envisageables (vérins, roulement...). Il décrit ensuite la structure du produit en précisant les dimensions des pièces. Enfin, il édite un plan avec différentes vues (de face, de dessus...). Exerçant dans tous les secteurs de l'industrie (automobile, rail, aéronautique, construction navale...), ce professionnel peut commencer comme dessinateur d'études avant de devenir dessinateur-projeteur, chef de projet, responsable de bureau d'études ou responsable de service maintenance. "
ajusteur-monteur / ajusteuse-monteuse,F : Mécanique,mécanique,H2901,mécanique (généralités),"C'est un peu comme s'il jouait au Lego. Mais l'ajusteur-monteur exerce un vrai métier pour lequel un certain nombre de compétences sont nécessaires. Qu'il assemble des pièces ou procède à des finitions, il reste un as du sur-mesure. Il réceptionne d'abord toutes les pièces du système mécanique (écrous, vis, molettes…) à réaliser. Il les adapte les unes aux autres pour qu'elles forment un ensemble cohérent. Vient enfin la phase de montage. L'ajusteur-monteur assemble les pièces selon un ordre qu'il détermine lui-même ou en suivant les instructions d'un document technique. Quand tout l'équipement est assemblé, il en contrôle le bon fonctionnement par une série de tests et d'essais. Il procède alors aux ultimes réglages et aux mises au point qui s'imposent.
Recherché dans un grand nombre de secteurs, l'ajusteur-monteur n'a guère de mal à trouver un emploi, surtout s'il est titulaire d'un bac professionnel ou technologique, dans l'agroalimentaire, l'imprimerie, le textile, l'automobile ou l'aéronautique. Mais au-delà du diplôme, on attendra de lui beaucoup de minutie et un grand sens des responsabilités."
technicien / technicienne plasturgiste,"J : Transformation des matériaux, procédés (biologie, chimie, physique)","matières premières, fabrication, industries",H3202,chimie,"La plasturgie concerne plus d'un millier de matières synthétiques différentes. Jouets, fenêtres, emballages... tous ces objets ont été fabriqués et contrôlés par le technicien plasturgiste, spécialiste du plastique. Il intervient depuis la conception jusqu'au produit fini. Il travaille sur ordinateur à partir d'un cahier des charges, pour mettre au point un produit en 3 dimensions (3D). Puis il fait réaliser des essais. Il peut être spécialisé dans les calculs de structure, les prototypes ou la mise au point. Conducteur de lignes automatisées, il veille au bon déroulement du cycle de fabrication. Animateur d'îlot, il pilote le fonctionnement d'une ou de plusieurs unités de production. 
La plasturgie est une industrie innovante qui concerne tous les secteurs et qui se porte plutôt bien. Ses besoins en personnels techniciens sont donc importants. Quelle que soit la taille de l'entreprise, le travail est souvent organisé en 3 × 8 heures. La production tournant en continu, la présence d'un technicien peut être requise en permanence. Le technicien peut aussi être d'astreinte le week-end et appelé à tout moment en cas de problème. Après quelques années, il peut évoluer vers des fonctions à responsabilités."
manager de risques,"Q : Commerce, gestion, finances","armée, sécurité",M1201,administration de l'entreprise,"Produit défectueux, explosion, accident du travail, ­pollution, virus informatique, perte financière... autant de catastrophes que le manager de risques doit prévoir, faire assurer et, dans la mesure du possible, empêcher. Il identifie les points de vulnérabilité d'une entreprise, et évalue les risques encourus et leurs répercussions financières. Il conseille la direction sur les mesures à prendre pour éviter qu'une catastrophe ne se produise. Il sensibilise le personnel aux questions de sécurité et le forme à l'utilisation des systèmes de prévention. Il met au point un plan de survie pour que l'entreprise puisse continuer à fonctionner normalement après un sinistre. Il décide des risques à assurer, détermine les garanties à souscrire, choisit la compagnie d'assurances qui lui semble la plus adaptée et la plus performante.
Ce métier est bien implanté dans les industries exposées aux risques technologiques : énergie, chimie, pétrole, pharmacie, etc. Le manager de risques est aussi présent dans les banques ou dans des cabinets de conseil spécialisés. Les emplois sont réservés en priorité à des professionnels dotés d'une longue expérience de management dans l'industrie, les assurances, le conseil ou l'audit. "
chef de cultures légumières,A : Agriculture,"agriculture, animaux",A1414,cultures,"Produire des légumes frais, agréables à l'oeil, savoureux et abordables, c'est le travail du chef de cultures légumières. Au rythme des saisons, il encadre une ou plusieurs équipe(s) d'ouvriers maraîchers. Il maîtrise les techniques agronomiques de cultures de végétaux : la préparation des sols, l'irrigation, la fertilisation, le soin des cultures, la maîtrise du climat constituent son quotidien. Il exerce aussi une activité commerciale : préparation des commandes et vente, contrôle et analyse des coûts de production. Avec des connaissances plus pointues en horticulture et en gestion, il pourra devenir maraîcher."
vendeur / vendeuse en animalerie,"Q : Commerce, gestion, finances","agriculture, animaux",D1210,marketing - vente,"Entouré de chiens, de chats, de rongeurs et d'oiseaux, le vendeur animalier commence toujours sa journée par le nettoyage des enclos, cages et aquariums, et la distribution de nourriture. Son amour pour eux est complété par une connaissance de leurs spécificités et de leurs conditions de vie. Un client veut acheter un animal ? Le vendeur lui conseille celui qui saura s'adapter à son mode de vie et à sa personnalité sans oublier de lui donner des indications sur la façon de s'en occuper. La vente des produits alimentaires et accessoires fait aussi partie de son travail.
Qu'il exerce dans une animalerie, dans le rayon spécialisé d'une jardinerie ou pour le compte d'une société importatrice d'espèces tropicales ou asiatiques, le vendeur est toujours salarié. Après quelques années d'expérience, il peut devenir chef de rayon, responsable de magasin ou directeur, voire ouvrir sa propre boutique et s'installer comme commerçant."
technicien / technicienne de police technique et scientifique,"T : Environnement, nettoyage, sécurité","armée, sécurité",H1210,chimie,"Curieux et minutieux, le technicien de police technique et scientifique peut exercer des activités très variées.
Dans un laboratoire, il assiste les ingénieurs dans les analyses et examens scientifiques, réalisés au sein de son unité. Il peut participer à la conception ainsi qu'à la validation de méthodes d'analyses biologiques et du matériel scientifique. Il assure, selon son grade, l'encadrement d'autres techniciens ainsi que d'agents spécialisés de police technique et scientifique.
Dans les services d'identité judiciaire, il contribue à la recherche et à l'exploitation des traces et indices nécessaires à l'identification des auteurs d'infractions à la loi pénale, participe aux constations techniques et concourt aux missions de soutien liées aux activités opérationnelles.
Dans les services régionaux de l'informatique et des traces technologiques, il effectue des travaux techniques notamment dans les domaines de la téléphonie mobile et de l'informatique.
Par son action, il contribue à la lutte contre le terrorisme et le crime organisé, mais aussi à la lutte contre la petite et moyenne délinquance au quotidien."
ingénieur / ingénieure RD en énergies renouvelables,"H : Electricité, énergie, électronique",environnement - énergies - propreté,H1206,énergies,"Biomasse, éolien, hydraulique, solaire, géothermie : autant de domaines où l'ingénieur recherche et développement (R & D) en énergies renouvelables intervient pour améliorer des techniques existantes ou en inventer de nouvelles, tout en respectant les normes environnementales mais aussi compétitives. Il travaille au sein d'équipes de chercheurs et de techniciens dans les centres de recherche, les bureaux d'études des grandes entreprises et les laboratoires de la fonction publique. La nécessité de développer les énergies renouvelables assure un avenir prometteur à ce professionnel très qualifié, maîtrisant la technique de sa spécialité, mais aussi la communication orale comme écrite et l'anglais."
animateur / animatrice du patrimoine,"S : Hôtellerie, tourisme, loisirs","arts, culture, artisanat",G1102,tourisme,"Ancienne usine, église romane, château médiéval, jardin historique, etc. sont autant de trésors que l'animateur du patrimoine s'attache à mettre en valeur. Pour cela, il conçoit expositions, circuits touristiques, livrets d'informations, ateliers pédagogiques, classes patrimoine ou visites menées par les guides-conférenciers qu'il forme et encadre. Doté de solides connaissances en histoire, histoire de l'art ou architecture, l'animateur du patrimoine est un très bon communicant qui travaille en réseau avec de nombreux interlocuteurs institutionnels, du tourisme, etc. Il exerce principalement dans les villes labellisées ""Villes et Pays d'art et d'histoire"" par le ministère de la Culture."
animateur / animatrice de radio et de télévision,"U : Communication, médias","information-communication, audiovisuel",L1103,journalisme - édition - publicité,"Sympathique, drôle et beau parleur, l'animateur radio ou télé sait divertir et informer le public. Sa voix, son style, sa personnalité passent bien, et séduisent les auditeurs et les téléspectateurs. Quel que soit le genre de son émission (jeu, variétés, info...), il prépare tout dans les moindres détails, en accord avec ses responsables. Devant le micro ou la caméra, il cherche la formule magique qui va « scotcher » l'auditeur ou le spectateur. Interview des invités, programmation musicale, relance des auditeurs, il donne du rythme à l'émission pour capter l'attention jusqu'au bout.
Tous ne s'appellent pas Cauet ou Manu : les animateurs ont le plus souvent un statut précaire (intermittent du spectacle), ils sont rémunérés au cachet, émission par émission. Les responsables des chaînes câblées ou du satellite, les radios locales cherchent de nouveaux talents. La bonne tactique : participer aux castings, soigner ses contacts et avoir de l'audace !"
chargé / chargée de production,"U : Communication, médias","information-communication, audiovisuel",L1302,audiovisuel,"Pour réaliser un film, une émission ou un spectacle, le chargé de production est indispensable. Sa mission : superviser la production et assurer la logistique des tournages, des enregistrements, des répétitions. Ce professionnel travaille au sein de sociétés de production, de chaînes de télévision, pour des compagnies de spectacle vivant (théâtre, danse). Pour que le projet prenne forme, il élabore le budget nécessaire à sa réalisation. Responsable des dépenses et des recettes, il détermine les frais indispensables (salaires, repas, moyens techniques) et établit le devis. À lui aussi de recruter l'équipe technique et artistique, de faire respecter le planning et les enjeux initiaux. Sans oublier l'organisation et la logistique : location de voitures, de matériels (caméras, micros, amplis, éclairages), réservation d'hôtels, achat de billets de train, etc.
Le chargé de production doit avoir des connaissances étendues en gestion, en droit, en dispositifs de financement et en anglais, et bien connaître le monde de l'audiovisuel et du spectacle. Une bonne résistance au stress est indispensable pour pouvoir faire face aux imprévus, régler les problèmes dans l'urgence, négocier avec un technicien ou un artiste en colère, etc."
maçon / maçonne,C : Bâtiment,construction - architecture - travaux publics,F1701,maçonnerie béton armé,"Construire les fondations d'un immeuble, monter des murs, des cloisons, poser des dalles : l'univers du maçon est fait de briques et de pierres, mais aussi et surtout de béton armé. Ce matériau moderne nécessite l'utilisation d'outils mécaniques comme les bétonnières, les vibrateurs électriques et pneumatiques, etc., qui n'ont plus grand-chose à voir avec le mortier et la truelle. L'emploi du béton implique des méthodes de travail qui ne ressemblent guère aux techniques de la maçonnerie traditionnelle. Cette activité demande une bonne santé, le sens de l'équilibre, un très fort esprit d'équipe et le respect absolu des règles de sécurité. Les chantiers sont souvent éloignés du siège de l'entreprise, ce qui entraîne des déplacements importants. Avec de l'expérience, le maçon peut devenir chef d'équipe ou s'installer à son compte comme artisan. Les emplois ne manquent pas."
ingénieur / ingénieure système,"P : Gestion et traitement de l'information (informatique, statistique, documentation)","informatique, internet",M1805,systèmes et réseaux,"Micro-processeurs, serveurs, boîtiers d'interconnexion, postes de travail, périphériques, cartes d'extension, mémoires... L'ingénieur système est un expert du matériel et des logiciels. Il analyse, optimise et sécurise l'outil informatique de son entreprise afin que tous les utilisateurs disposent d'une installation adaptée et performante. En cas d'incidents complexes, il examine de bout en bout la situation pour effectuer au mieux les réparations qui s'imposent. Il assure une veille technologique permanente afin d'anticiper les évolutions des systèmes. 
Cet expert comprend les besoins des utilisateurs, conseille les développeurs, entretient des relations régulières avec les constructeurs, les éditeurs de logiciels, les opérateurs. Il est rigoureux et fait preuve de méthode. Maîtriser l'anglais est indispensable. 
Les débouchés se situent dans les entreprises utilisatrices ainsi que dans les ESN (entreprises de services du numérique) Après quelques années d'expérience, il est possible d'évoluer comme ingénieur avant-vente (qui conseille les entreprises dans le choix des produits techniques), architecte système, consultant, ou encore comme directeur des systèmes d'information. "
responsable de la promotion des ventes,"Q : Commerce, gestion, finances","commerce, marketing, vente",M1706,journalisme - édition - publicité,"Le responsable de la promotion des ventes imagine un plan d'action pour inciter les clients à acheter la marque ou les produits qu'il défend. Il épluche les études de marché, collabore avec divers services de son entreprise, et sait motiver les forces de vente. En cours et à l'issue de la campagne de promotion, il en évalue l'impact et réajuste son action si nécessaire.
Les diplômés des écoles supérieures de commerce et de gestion avec une première expérience dans la vente sont particulièrement recherchés. Ce poste permet d'évoluer vers la direction marketing ou la direction commerciale.
Un BTS au minimum est nécessaire pour accéder à la promotion des ventes, mais souvent au niveau d'assistant. La tendance est plutôt au recrutement de titulaires d'un bac + 5 avec, si possible, une expérience de la vente."
paysagiste,"T : Environnement, nettoyage, sécurité",environnement - énergies - propreté,A1303,aménagement paysager,"Il réalise un parc de loisirs avec pelouses, toboggans et plans d'eau. Il programme une aire de jeux au cœur d'un ensemble d'immeubles, fleurit les abords des routes, aménage un circuit de golf, ou réhabilite le parc d'un château. Des activités qui demandent des connaissances (en architecture, en gestion, en horticulture, en travaux publics, en génie civil) et, surtout, un esprit créatif.
En collaboration avec des architectes, des urbanistes et des ingénieurs, il intervient de la première ébauche d'un projet au suivi de chantier, en passant par les plans détaillés et les spécifications techniques.
Cette profession est assez jeune et le titre de paysagiste n'est pas protégé. On trouve donc, sur le terrain, des professionnels aux formations et parcours divers. Des horticulteurs-pépiniéristes, qui développent une activité d'entrepreneur en jardins et espaces verts, aux paysagistes-conseils, en passant par les architectes-paysagistes, on recense entre 300 et 500 professionnels."
hôtesse de l'air / steward,"S : Hôtellerie, tourisme, loisirs",logistique - transport,N2101,transport,"Les hôtesses de l'air et les stewards accueillent les passagers d'un avion. Ils sont attentifs à leur sécurité et à leur confort tout au long du voyage. Sourire et courtoisie sont de rigueur. Avant l'embarquement, ils effectuent un contrôle méticuleux de la cabine. Pendant le vol, ils assurent la distribution (ou la vente) des repas et des boissons et garde la cabine rangée. En cas d'incident, ils doivent être réactifs et éviter l'affolement. Le métier, fatigant, s'exerce avec des horaires irréguliers, les décalages horaires et une station debout permanente. Pour exercer, il faut donc être en bonne condition physique, savoir nager, maîtriser l'anglais et être titulaire du diplôme européen CCA (cabin crew attestation) reconnu par la plupart des compagnies, locales et internationales. Il faut être âgé au minimum de 18 ans à l'entrée en centre de formation agréé (voir la liste sur le site du ministère de la Transition écologique et solidaire). Le bac suffit mais le niveau bac + 2 est préférable."
musicien / musicienne,"V : Arts, spectacle, audiovisuel","arts, culture, artisanat",L1202,arts du spectacle,"Dans un orchestre symphonique ou un groupe de rock, avec un violon, une guitare sèche ou une flûte traversière, le musicien utilise sa sensibilité pour transmettre des émotions. Il peut être compositeur ou interprète, ou les deux à la fois ! Dans tous les cas, son emploi du temps comporte des auditions, des répétitions journalières et des concerts. Parfois le musicien est aussi un chanteur ou un enseignant.
Quand il a le statut d'intermittent du spectacle, il est souvent obligé de diversifier ses activités pour compléter ses revenus. Son rythme est soutenu et variable, ses déplacements fréquents et ses horaires décalés : il travaille le soir, les week-ends et jours fériés."
hôte / hôtesse d'accueil,"S : Hôtellerie, tourisme, loisirs","gestion des entreprises, comptabilité",M1601,hôtellerie,"Premier contact des visiteurs, l'hôte d'accueil représente l'image de l'entreprise qui l'emploie. C'est pourquoi une présentation irréprochable et des qualités relationnelles sont demandées. Il est chargé d'accueillir, de renseigner, d'orienter. Ce métier porteur peut s'exercer dans des lieux variés : salon professionnel, structure touristique, administration, grande entreprise, mairie, etc. en fonction du lieu d'exercice, les missions seront différentes. En entreprise, l'hôte répond aussi au téléphone, gère le courrier et les coursiers, commande des taxis, etc. Si la plupart des emplois concernent des missions courtes événementielles qui nécessitent de se déplacer et de travailler parfois le week-end, des postes fixes existent en entreprises, souvent à partir de bac+2 et avec la pratique de l'anglais."
journaliste,"U : Communication, médias","information-communication, audiovisuel",E1106,journalisme - édition - publicité,"Grand reporter, présentateur du journal télévisé : le métier de journaliste fait rêver, mais n'est pas facile d'accès. Pour l'exercer, il faut une solide culture générale, mais aussi de très bonnes qualités rédactionnelles et un esprit critique. Contrairement à ce que l'on pourrait penser, les journalistes vont assez peu sur le terrain (manque de temps, ou de moyens). Ils retravaillent les informations qu'ils collectent sur le Web, réalisent des dossiers thématiques ou effectuent des interviews par téléphone.
Toujours à l'affût de la moindre information, le journaliste sait se mettre à l'écoute de ses interlocuteurs et retranscrire fidèlement leurs propos. Il fait preuve d'une grande réactivité, car l'actualité n'attend pas. Il n'hésite pas à travailler le soir ou le week-end pour couvrir les événements locaux ou mondiaux. Tout au long de sa carrière, il prend soin d'étoffer son carnet d'adresses, un précieux outil qui lui permet de contacter rapidement la bonne personne au bon endroit.
Pour exercer ce métier, il faut avoir plusieurs cordes à son arc et maîtriser diverses techniques : l'écriture, mais aussi la photo et la vidéo.
La plupart des journalistes travaillent pour la presse écrite. On débute le plus souvent avec le statut de pigiste (production d'articles sur commande pour un ou plusieurs journaux)."
chirurgien-dentiste / chirurgienne-dentiste,"R : Santé, social, soins personnels",santé - social - sport,J1103,médical,"Caries, fêlures, abcès : le chirurgien-dentiste traite les maladies qui affectent les dents et les mâchoires. Spécialisé en orthodontie, il « redresse » les dentitions mal implantées au moyen d'appareillages, et redonne le sourire en faisant réaliser des couronnes, des bridges, des bagues, par un prothésiste dentaire.
Chirurgien de formation, le dentiste réalise certaines opérations qui nécessitent une anesthésie, comme l'extraction de dents de sagesse ou la pose de pivots implantés dans l'os de la mâchoire. La prévention et le conseil en hygiène bucco-dentaire font aussi partie de son quotidien.
Ce métier demande de la dextérité, de la minutie, des gestes sûrs effectués avec sang-froid et une grande capacité relationnelle. Le chirurgien-dentiste exerce son métier le plus souvent en cabinet libéral."
ergothérapeute,"R : Santé, social, soins personnels",santé - social - sport,J1403,paramédical,"Professionnel/le de santé, l’ergothérapeute intervient auprès des personnes de tous âges ou en situation de handicap, pour faciliter la réalisation de leurs activités, en tenant compte de leurs choix de vie et de leur environnement.
Pas facile d'enfiler ses chaussettes quand on a perdu un pouce, de se laver avec un bras paralysé ou de faire le ménage en fauteuil. Rééducateur/trice du geste, l'ergothérapeute aide les personnes souffrant de handicap temporaire ou durable à retrouver un maximum d'autonomie dans leur quotidien (personnel et professionnel). Par le biais de jeux, de travaux manuels (couture, menuiserie), il leur apprend ou réapprend patiemment les gestes usuels (cuisine, écriture, par exemple). Tenir compte des capacités de récupération de chacun est indispensable. Car, là où 2 semaines de travail suffisent à un patient pour récupérer force et précision, un autre mettra 6 mois.
L'ergothérapeute donne aussi des conseils pratiques pour l'organisation matérielle ou l'aménagement de l'espace de vie ou de travail : installer une barre d'appui dans une douche ou des portes assez larges pour laisser passer un fauteuil : suivant les situations, les solutions à trouver peuvent relever du système D. Il s'agit de faciliter, par tous les moyens, les activités de la vie quotidienne.
L'ergothérapeute travaille à l'hôpital ou en centre de rééducation fonctionnelle, toujours en collaboration avec des médecins, des orthoprothésistes et des kinésithérapeutes. Il/elle est aussi amené à se déplacer au domicile de la personne pour l'aider à devenir indépendante.
 "
visiteur médical / visiteuse médicale,"R : Santé, social, soins personnels",santé - social - sport,D1405,paramédical,"Il sillonne en voiture toute une région. Pourtant, son lieu de travail est le cabinet médical ou dentaire, l'officine du pharmacien ou l'hôpital, car le visiteur médical fait du « porte-à-porte » auprès des prescripteurs : médecins, dentistes, vétérinaires ou pharmaciens. Il rencontre en moyenne 6 professionnels par jour et doit se plier à leurs horaires. Attaché commercial, le visiteur représente un ou plusieurs laboratoires pharmaceutiques. Son rôle est de promouvoir leurs produits et de les faire prescrire aux malades.
Avoir une bonne connaissance des médicaments, de leurs interactions et de leurs effets secondaires est impératif. Courroie de transmission entre les praticiens et les laboratoires, le visiteur est tenu de rédiger des comptes rendus réguliers qu'il transmet à son directeur régional. La concurrence est rude entre laboratoires : il faut savoir convaincre son interlocuteur sur tel médicament, plus ou moins « nocif » qu'un autre. La carte professionnelle, obligatoire pour exercer, est délivrée par le CPNVM (Comité professionnel national de la visite médicale) à la demande de l'employeur lors de la première embauche, et renouvelée chaque année à l'initiative de l'entreprise."
accompagnateur / accompagnatrice de tourisme équestre,"S : Hôtellerie, tourisme, loisirs",hôtellerie - restauration - tourisme,G1201,sport,"Bon cavalier, guide, mais aussi animateur, l'accompagnateur de tourisme équestre (ATE) a plusieurs cordes à son arc. Il conduit des randonnées à cheval sur des itinéraires identifiés pendant quelques heures ou plusieurs jours. Garant de la sécurité des cavaliers, il adapte les montures et les étapes au profil de ses clients (âge, condition physique, aptitudes). Avant de partir, il prépare les chevaux et le matériel approprié, repère les parcours et assure les soins aux montures. Il fait découvrir les régions traversées sous tous leurs aspects : naturel, culturel, économique... Le métier se développe et s'exerce surtout d'avril à septembre, dans un centre équestre ou de loisirs. "
officier / officière de la Marine nationale,"T : Environnement, nettoyage, sécurité","armée, sécurité",K1703,sécurité prévention,"À la fois professionnel de la mer, commandant de navire, chef militaire et ingénieur, l'officier de la Marine nationale est responsable des troupes, des matériels, des navires. Il anime une équipe qualifiée qu'il doit maintenir unie et efficace, en temps de paix comme au combat. Dynamisme, compréhension, sens du commandement lui sont donc indispensables.
La conduite d'un navire est sa fonction principale. Sur la passerelle, c'est lui qui assure la route du navire, donne les ordres de manœuvres. De formation scientifique et technique, il veille aussi à l'entretien, aux réparations courantes, voire à l'amélioration des matériels. Il est secondé par des officiers spécialisés qui sont chargés d'un service technique.
Tous les 2 ans en moyenne, l'officier peut changer d'affectation. Ce changement nécessite des capacités d'adaptation. Les missions, les tâches et son mode de vie varient beaucoup selon qu'il exerce dans un sous-marin, sur un porte-avion ou dans un bureau d'état-major…
Un officier spécialisé peut exercer des responsabilités dans tous les domaines d'activité de la Marine : renseignements, finances, communication, gestion des ressources humaines, conduite nautique, transmissions…
Travailler en mer requiert endurance, réactivité et aptitudes physiques."
mouleur-noyauteur / mouleuse-noyauteuse,E : Travail des métaux,"matières premières, fabrication, industries",H2910,travail des métaux,"Le mouleur-noyauteur réalise des moules qui serviront à fabriquer en série des pièces de fonderie. La première étape de son travail consiste à prendre connaissance du modèle de la pièce à réaliser. Il réalise le moulage de l'empreinte, il dégage ensuite l'empreinte obtenue, la compare avec les formes et les dimensions du modèle, et procède manuellement aux finitions et aux retouches. Il travaille avec différents matériaux comme des bois naturels, des métaux, des matières synthétiques, des résines, du plâtre et de la cire pour réaliser le moule. Il travaille aussi avec du sable qu'il tasse, par compression et vibration, à la main ou à l'aide de machines automatisées. En relation avec les conducteurs d'engins de manutention et les opérateurs de coulée, il doit avoir un bon sens relationnel. Débutant comme assistant, il peut devenir à la longue chef d'équipe puis contremaître. En se formant, il peut également accéder à des postes comme agent technique, technicien ou technicien supérieur."
